op_name,dtype,operator,N,time_ms,bytes
cudagraph_elem,float16,swiglu,8192,0.017215,32768
cudagraph_elem,float16,swiglu,4096,0.017584,16384
cudagraph_elem,float16,swiglu,2048,0.017917,8192
cudagraph_elem,float16,swiglu,1024,0.017539,4096
cudagraph_elem,float16,rope,268435456,11.868799,1073741824
cudagraph_elem,float16,rope,134217728,5.942241,536870912
cudagraph_elem,float16,rope,67108864,2.978144,268435456
cudagraph_elem,float16,rope,33554432,1.501438,134217728
cudagraph_elem,float16,rope,16777216,0.761580,67108864
cudagraph_elem,float16,rope,8388608,0.389205,33554432
cudagraph_elem,float16,rope,4194304,0.205450,16777216
cudagraph_elem,float16,rope,2097152,0.105390,8388608
cudagraph_elem,float16,rope,1048576,0.048777,4194304
cudagraph_elem,float16,rope,524288,0.028890,2097152
cudagraph_elem,float16,rope,262144,0.022322,1048576
cudagraph_elem,float16,rope,131072,0.021116,524288
cudagraph_elem,float16,rope,65536,0.020986,262144
cudagraph_elem,float16,rope,32768,0.021003,131072
cudagraph_elem,float16,rope,16384,0.019994,65536
cudagraph_elem,float16,rope,8192,0.019971,32768
cudagraph_elem,float16,rope,4096,0.019936,16384
cudagraph_elem,float16,rope,2048,0.021523,8192
cudagraph_elem,float16,rope,1024,0.021416,4096
cudagraph_elem,bfloat16,residual_add,268435456,1.910767,1073741824
cudagraph_elem,bfloat16,residual_add,134217728,0.959627,536870912
cudagraph_elem,bfloat16,residual_add,67108864,0.483434,268435456
cudagraph_elem,bfloat16,residual_add,33554432,0.247401,134217728
cudagraph_elem,bfloat16,residual_add,16777216,0.126840,67108864
cudagraph_elem,bfloat16,residual_add,8388608,0.066680,33554432
cudagraph_elem,bfloat16,residual_add,4194304,0.036836,16777216
cudagraph_elem,bfloat16,residual_add,2097152,0.019339,8388608
cudagraph_elem,bfloat16,residual_add,1048576,0.017810,4194304
cudagraph_elem,bfloat16,residual_add,524288,0.017209,2097152
cudagraph_elem,bfloat16,residual_add,262144,0.017389,1048576
cudagraph_elem,bfloat16,residual_add,131072,0.017200,524288
cudagraph_elem,bfloat16,residual_add,65536,0.017125,262144
cudagraph_elem,bfloat16,residual_add,32768,0.017202,131072
cudagraph_elem,bfloat16,residual_add,16384,0.017275,65536
cudagraph_elem,bfloat16,residual_add,8192,0.018849,32768
cudagraph_elem,bfloat16,residual_add,4096,0.017807,16384
cudagraph_elem,bfloat16,residual_add,2048,0.017173,8192
cudagraph_elem,bfloat16,residual_add,1024,0.016887,4096
cudagraph_elem,bfloat16,rmsnorm,268435456,4.812192,1073741824
cudagraph_elem,bfloat16,rmsnorm,134217728,2.417570,536870912
cudagraph_elem,bfloat16,rmsnorm,67108864,1.218878,268435456
cudagraph_elem,bfloat16,rmsnorm,33554432,0.621226,134217728
cudagraph_elem,bfloat16,rmsnorm,16777216,0.323323,67108864
cudagraph_elem,bfloat16,rmsnorm,8388608,0.164945,33554432
cudagraph_elem,bfloat16,rmsnorm,4194304,0.088789,16777216
cudagraph_elem,bfloat16,rmsnorm,2097152,0.042159,8388608
cudagraph_elem,bfloat16,rmsnorm,1048576,0.025532,4194304
cudagraph_elem,bfloat16,rmsnorm,524288,0.021955,2097152
cudagraph_elem,bfloat16,rmsnorm,262144,0.019992,1048576
cudagraph_elem,bfloat16,rmsnorm,131072,0.019611,524288
cudagraph_elem,bfloat16,rmsnorm,65536,0.019192,262144
cudagraph_elem,bfloat16,rmsnorm,32768,0.017906,131072
cudagraph_elem,bfloat16,rmsnorm,16384,0.019028,65536
cudagraph_elem,bfloat16,rmsnorm,8192,0.018669,32768
cudagraph_elem,bfloat16,rmsnorm,4096,0.017577,16384
cudagraph_elem,bfloat16,rmsnorm,2048,0.018332,8192
cudagraph_elem,bfloat16,rmsnorm,1024,0.018945,4096
cudagraph_elem,bfloat16,swiglu,268435456,3.895250,1073741824
cudagraph_elem,bfloat16,swiglu,134217728,2.010946,536870912
cudagraph_elem,bfloat16,swiglu,67108864,1.022532,268435456
cudagraph_elem,bfloat16,swiglu,33554432,0.516637,134217728
cudagraph_elem,bfloat16,swiglu,16777216,0.261393,67108864
cudagraph_elem,bfloat16,swiglu,8388608,0.135652,33554432
cudagraph_elem,bfloat16,swiglu,4194304,0.073031,16777216
cudagraph_elem,bfloat16,swiglu,2097152,0.034730,8388608
cudagraph_elem,bfloat16,swiglu,1048576,0.020963,4194304
cudagraph_elem,bfloat16,swiglu,524288,0.017818,2097152
cudagraph_elem,bfloat16,swiglu,262144,0.021594,1048576
cudagraph_elem,bfloat16,swiglu,131072,0.021332,524288
cudagraph_elem,bfloat16,swiglu,65536,0.017543,262144
cudagraph_elem,bfloat16,swiglu,32768,0.017047,131072
cudagraph_elem,bfloat16,swiglu,16384,0.017051,65536
cudagraph_elem,bfloat16,swiglu,8192,0.016901,32768
cudagraph_elem,bfloat16,swiglu,4096,0.017637,16384
cudagraph_elem,bfloat16,swiglu,2048,0.017037,8192
cudagraph_elem,bfloat16,swiglu,1024,0.016998,4096
cudagraph_elem,bfloat16,rope,268435456,11.961734,1073741824
cudagraph_elem,bfloat16,rope,134217728,5.993817,536870912
cudagraph_elem,bfloat16,rope,67108864,3.003177,268435456
cudagraph_elem,bfloat16,rope,33554432,1.511434,134217728
cudagraph_elem,bfloat16,rope,16777216,0.766077,67108864
cudagraph_elem,bfloat16,rope,8388608,0.391664,33554432
cudagraph_elem,bfloat16,rope,4194304,0.206181,16777216
cudagraph_elem,bfloat16,rope,2097152,0.105737,8388608
cudagraph_elem,bfloat16,rope,1048576,0.048836,4194304
cudagraph_elem,bfloat16,rope,524288,0.029052,2097152
cudagraph_elem,bfloat16,rope,262144,0.023401,1048576
cudagraph_elem,bfloat16,rope,131072,0.021773,524288
cudagraph_elem,bfloat16,rope,65536,0.021484,262144
cudagraph_elem,bfloat16,rope,32768,0.021091,131072
cudagraph_elem,bfloat16,rope,16384,0.020067,65536
cudagraph_elem,bfloat16,rope,8192,0.020019,32768
cudagraph_elem,bfloat16,rope,4096,0.020756,16384
cudagraph_elem,bfloat16,rope,2048,0.019560,8192
cudagraph_elem,bfloat16,rope,1024,0.019538,4096
