op_name,dtype,operator,N,time_ms,bytes
cudagraph_elem,float16,residual_add,268435456,1.914853,1073741824
cudagraph_elem,float16,residual_add,134217728,0.963583,536870912
cudagraph_elem,float16,residual_add,67108864,0.486481,268435456
cudagraph_elem,float16,residual_add,33554432,0.247715,134217728
cudagraph_elem,float16,residual_add,16777216,0.128839,67108864
cudagraph_elem,float16,residual_add,8388608,0.069111,33554432
cudagraph_elem,float16,residual_add,4194304,0.039456,16777216
cudagraph_elem,float16,residual_add,2097152,0.023525,8388608
cudagraph_elem,float16,residual_add,1048576,0.023044,4194304
cudagraph_elem,float16,residual_add,524288,0.023572,2097152
cudagraph_elem,float16,residual_add,262144,0.023973,1048576
cudagraph_elem,float16,residual_add,131072,0.022980,524288
cudagraph_elem,float16,residual_add,65536,0.022794,262144
cudagraph_elem,float16,residual_add,32768,0.022852,131072
cudagraph_elem,float16,residual_add,16384,0.023796,65536
cudagraph_elem,float16,residual_add,8192,0.021453,32768
cudagraph_elem,float16,residual_add,4096,0.016879,16384
cudagraph_elem,float16,residual_add,2048,0.018542,8192
cudagraph_elem,float16,residual_add,1024,0.017885,4096
cudagraph_elem,float16,rmsnorm,268435456,4.808640,1073741824
cudagraph_elem,float16,rmsnorm,134217728,2.412230,536870912
cudagraph_elem,float16,rmsnorm,67108864,1.218960,268435456
cudagraph_elem,float16,rmsnorm,33554432,0.619605,134217728
cudagraph_elem,float16,rmsnorm,16777216,0.320403,67108864
cudagraph_elem,float16,rmsnorm,8388608,0.164095,33554432
cudagraph_elem,float16,rmsnorm,4194304,0.088428,16777216
cudagraph_elem,float16,rmsnorm,2097152,0.041933,8388608
cudagraph_elem,float16,rmsnorm,1048576,0.024686,4194304
cudagraph_elem,float16,rmsnorm,524288,0.021572,2097152
cudagraph_elem,float16,rmsnorm,262144,0.019454,1048576
cudagraph_elem,float16,rmsnorm,131072,0.018612,524288
cudagraph_elem,float16,rmsnorm,65536,0.019009,262144
cudagraph_elem,float16,rmsnorm,32768,0.018510,131072
cudagraph_elem,float16,rmsnorm,16384,0.018138,65536
cudagraph_elem,float16,rmsnorm,8192,0.018878,32768
cudagraph_elem,float16,rmsnorm,4096,0.018460,16384
cudagraph_elem,float16,rmsnorm,2048,0.018530,8192
cudagraph_elem,float16,rmsnorm,1024,0.018187,4096
cudagraph_elem,float16,swiglu,268435456,3.192331,1073741824
cudagraph_elem,float16,swiglu,134217728,1.603981,536870912
cudagraph_elem,float16,swiglu,67108864,0.808166,268435456
cudagraph_elem,float16,swiglu,33554432,0.411388,134217728
cudagraph_elem,float16,swiglu,16777216,0.209081,67108864
cudagraph_elem,float16,swiglu,8388608,0.109266,33554432
cudagraph_elem,float16,swiglu,4194304,0.058979,16777216
cudagraph_elem,float16,swiglu,2097152,0.025282,8388608
cudagraph_elem,float16,swiglu,1048576,0.017377,4194304
cudagraph_elem,float16,swiglu,524288,0.017030,2097152
cudagraph_elem,float16,swiglu,262144,0.017571,1048576
cudagraph_elem,float16,swiglu,131072,0.020796,524288
cudagraph_elem,float16,swiglu,65536,0.022953,262144
cudagraph_elem,float16,swiglu,32768,0.017837,131072
cudagraph_elem,float16,swiglu,16384,0.017678,65536
