op_name,dtype,M,K,N,time_ms,flops,bytes
matmul,float16,2048,4096,4096,1.126628,68719476736,67108864
matmul,float16,2048,4096,2048,0.577852,34359738368,41943040
matmul,float16,2048,4096,1024,0.312771,17179869184,29360128
matmul,float16,2048,4096,512,0.170128,8589934592,23068672
matmul,float16,2048,2048,8192,1.085632,68719476736,75497472
matmul,float16,2048,2048,4096,0.576865,34359738368,41943040
matmul,float16,2048,2048,2048,0.307857,17179869184,25165824
matmul,float16,2048,2048,1024,0.173135,8589934592,16777216
matmul,float16,2048,2048,512,0.103842,4294967296,12582912
matmul,float16,2048,1024,8192,0.550840,34359738368,54525952
matmul,float16,2048,1024,4096,0.305435,17179869184,29360128
matmul,float16,2048,1024,2048,0.176799,8589934592,16777216
matmul,float16,2048,1024,1024,0.099371,4294967296,10485760
matmul,float16,2048,1024,512,0.072118,2147483648,7340032
matmul,float16,2048,512,8192,0.330453,17179869184,44040192
matmul,float16,2048,512,4096,0.187337,8589934592,23068672
matmul,float16,2048,512,2048,0.101178,4294967296,12582912
matmul,float16,2048,512,1024,0.065782,2147483648,7340032
matmul,float16,2048,512,512,0.048036,1073741824,4718592
matmul,float16,1024,8192,8192,2.326447,137438953472,167772160
matmul,float16,1024,8192,4096,1.114126,68719476736,92274688
matmul,float16,1024,8192,2048,0.591815,34359738368,54525952
matmul,float16,1024,8192,1024,0.309941,17179869184,35651584
matmul,float16,1024,8192,512,0.173459,8589934592,26214400
matmul,float16,1024,4096,8192,1.190019,68719476736,92274688
matmul,float16,1024,4096,4096,0.569885,34359738368,50331648
matmul,float16,1024,4096,2048,0.308336,17179869184,29360128
matmul,float16,1024,4096,1024,0.166052,8589934592,18874368
matmul,float16,1024,4096,512,0.094638,4294967296,13631488
matmul,float16,1024,2048,8192,0.622130,34359738368,54525952
matmul,float16,1024,2048,4096,0.324905,17179869184,29360128
matmul,float16,1024,2048,2048,0.170651,8589934592,16777216
matmul,float16,1024,2048,1024,0.096955,4294967296,10485760
matmul,float16,1024,2048,512,0.058469,2147483648,7340032
matmul,float16,1024,1024,8192,0.337913,17179869184,35651584
matmul,float16,1024,1024,4096,0.173571,8589934592,18874368
matmul,float16,1024,1024,2048,0.095695,4294967296,10485760
matmul,float16,1024,1024,1024,0.060495,2147483648,6291456
matmul,float16,1024,1024,512,0.040915,1073741824,4194304
matmul,float16,1024,512,8192,0.194652,8589934592,26214400
matmul,float16,1024,512,4096,0.103244,4294967296,13631488
matmul,float16,1024,512,2048,0.059462,2147483648,7340032
matmul,float16,1024,512,1024,0.043379,1073741824,4194304
matmul,float16,1024,512,512,0.037652,536870912,2621440
matmul,float16,512,8192,8192,1.516584,68719476736,150994944
matmul,float16,512,8192,4096,0.594647,34359738368,79691776
matmul,float16,512,8192,2048,0.332538,17179869184,44040192
matmul,float16,512,8192,1024,0.169208,8589934592,26214400
matmul,float16,512,8192,512,0.099838,4294967296,17301504
matmul,float16,512,4096,8192,0.566109,34359738368,79691776
matmul,float16,512,4096,4096,0.313271,17179869184,41943040
matmul,float16,512,4096,2048,0.186518,8589934592,23068672
matmul,float16,512,4096,1024,0.099245,4294967296,13631488
matmul,float16,512,4096,512,0.059166,2147483648,8912896
matmul,float16,512,2048,8192,0.320159,17179869184,44040192
matmul,float16,512,2048,4096,0.167364,8589934592,23068672
matmul,float16,512,2048,2048,0.148889,4294967296,12582912
matmul,float16,512,2048,1024,0.062360,2147483648,7340032
matmul,float16,512,2048,512,0.047943,1073741824,4718592
matmul,float16,512,1024,8192,0.180199,8589934592,26214400
matmul,float16,512,1024,4096,0.101050,4294967296,13631488
matmul,float16,512,1024,2048,0.092404,2147483648,7340032
matmul,float16,512,1024,1024,0.043741,1073741824,4194304
matmul,float16,512,1024,512,0.042181,536870912,2621440
matmul,float16,512,512,8192,0.121237,4294967296,17301504
matmul,float16,512,512,4096,0.067625,2147483648,8912896
matmul,float16,512,512,2048,0.061349,1073741824,4718592
matmul,float16,512,512,1024,0.035316,536870912,2621440
matmul,float16,512,512,512,0.044573,268435456,1572864
matmul,float16,256,8192,8192,0.607789,34359738368,142606336
matmul,float16,256,8192,4096,0.313533,17179869184,73400320
matmul,float16,256,8192,2048,0.172642,8589934592,38797312
matmul,float16,256,8192,1024,0.093516,4294967296,21495808
matmul,float16,256,8192,512,0.072259,2147483648,12845056
matmul,float16,256,4096,8192,0.314485,17179869184,73400320
matmul,float16,256,4096,4096,0.161946,8589934592,37748736
matmul,float16,256,4096,2048,0.097561,4294967296,19922944
matmul,float16,256,4096,1024,0.064931,2147483648,11010048
matmul,float16,256,4096,512,0.051386,1073741824,6553600
matmul,float16,256,2048,8192,0.167786,8589934592,38797312
matmul,float16,256,2048,4096,0.094944,4294967296,19922944
matmul,float16,256,2048,2048,0.062878,2147483648,10485760
matmul,float16,256,2048,1024,0.044141,1073741824,5767168
matmul,float16,256,2048,512,0.048549,536870912,3407872
matmul,float16,256,1024,8192,0.099987,4294967296,21495808
matmul,float16,256,1024,4096,0.071335,2147483648,11010048
matmul,float16,256,1024,2048,0.052809,1073741824,5767168
matmul,float16,256,1024,1024,0.046053,536870912,3145728
matmul,float16,256,1024,512,0.042110,268435456,1835008
matmul,float16,256,512,8192,0.061337,2147483648,12845056
matmul,float16,256,512,4096,0.042376,1073741824,6553600
matmul,float16,256,512,2048,0.043229,536870912,3407872
matmul,float16,256,512,1024,0.036312,268435456,1835008
matmul,float16,256,512,512,0.040405,134217728,1048576
matmul,float16,128,8192,8192,0.321362,17179869184,138412032
matmul,float16,128,8192,4096,0.174105,8589934592,70254592
matmul,float16,128,8192,2048,0.099155,4294967296,36175872
matmul,float16,128,8192,1024,0.078301,2147483648,19136512
matmul,float16,128,8192,512,0.046172,1073741824,10616832
matmul,float16,128,4096,8192,0.170530,8589934592,70254592
matmul,float16,128,4096,4096,0.095433,4294967296,35651584
matmul,float16,128,4096,2048,0.060764,2147483648,18350080
matmul,float16,128,4096,1024,0.060583,1073741824,9699328
matmul,float16,128,4096,512,0.045110,536870912,5373952
matmul,float16,128,2048,8192,0.097276,4294967296,36175872
matmul,float16,128,2048,4096,0.058978,2147483648,18350080
matmul,float16,128,2048,2048,0.050910,1073741824,9437184
matmul,float16,128,2048,1024,0.043545,536870912,4980736
matmul,float16,128,2048,512,0.064599,268435456,2752512
matmul,float16,128,1024,8192,0.062641,2147483648,19136512
matmul,float16,128,1024,4096,0.050255,1073741824,9699328
matmul,float16,128,1024,2048,0.036239,536870912,4980736
matmul,float16,128,1024,1024,0.054369,268435456,2621440
matmul,float16,128,1024,512,0.048652,134217728,1441792
matmul,float16,128,512,8192,0.049378,1073741824,10616832
matmul,float16,128,512,4096,0.038655,536870912,5373952
matmul,float16,128,512,2048,0.037029,268435456,2752512
matmul,float16,128,512,1024,0.038863,134217728,1441792
matmul,float16,128,512,512,0.045822,67108864,786432
matmul,float16,64,8192,8192,0.283789,8589934592,136314880
matmul,float16,64,8192,4096,0.112504,4294967296,68681728
matmul,float16,64,8192,2048,0.072977,2147483648,34865152
matmul,float16,64,8192,1024,0.051530,1073741824,17956864
matmul,float16,64,8192,512,0.048822,536870912,9502720
matmul,float16,64,4096,8192,0.107567,4294967296,68681728
matmul,float16,64,4096,4096,0.071305,2147483648,34603008
matmul,float16,64,4096,2048,0.051124,1073741824,17563648
matmul,float16,64,4096,1024,0.042946,536870912,9043968
matmul,float16,64,4096,512,0.048620,268435456,4784128
matmul,float16,64,2048,8192,0.067333,2147483648,34865152
matmul,float16,64,2048,4096,0.045183,1073741824,17563648
matmul,float16,64,2048,2048,0.055032,536870912,8912896
matmul,float16,64,2048,1024,0.068122,268435456,4587520
matmul,float16,64,2048,512,0.045916,134217728,2424832
matmul,float16,64,1024,8192,0.054934,1073741824,17956864
matmul,float16,64,1024,4096,0.037846,536870912,9043968
matmul,float16,64,1024,2048,0.042228,268435456,4587520
matmul,float16,64,1024,1024,0.046075,134217728,2359296
matmul,float16,64,1024,512,0.039635,67108864,1245184
matmul,float16,64,512,8192,0.037523,536870912,9502720
matmul,float16,64,512,4096,0.037630,268435456,4784128
matmul,float16,64,512,2048,0.047561,134217728,2424832
matmul,float16,64,512,1024,0.037927,67108864,1245184
matmul,float16,64,512,512,0.045683,33554432,655360
matmul,float16,32,8192,8192,0.183662,4294967296,135266304
matmul,float16,32,8192,4096,0.112351,2147483648,67895296
matmul,float16,32,8192,2048,0.068989,1073741824,34209792
matmul,float16,32,8192,1024,0.057810,536870912,17367040
matmul,float16,32,8192,512,0.043785,268435456,8945664
matmul,float16,32,4096,8192,0.104608,2147483648,67895296
matmul,float16,32,4096,4096,0.065293,1073741824,34078720
matmul,float16,32,4096,2048,0.056482,536870912,17170432
matmul,float16,32,4096,1024,0.062475,268435456,8716288
matmul,float16,32,4096,512,0.042603,134217728,4489216
matmul,float16,32,2048,8192,0.063545,1073741824,34209792
matmul,float16,32,2048,4096,0.045656,536870912,17170432
matmul,float16,32,2048,2048,0.041158,268435456,8650752
matmul,float16,32,2048,1024,0.049100,134217728,4390912
matmul,float16,32,2048,512,0.047697,67108864,2260992
matmul,float16,32,1024,8192,0.045115,536870912,17367040
matmul,float16,32,1024,4096,0.046734,268435456,8716288
matmul,float16,32,1024,2048,0.048450,134217728,4390912
matmul,float16,32,1024,1024,0.065154,67108864,2228224
matmul,float16,32,1024,512,0.060423,33554432,1146880
matmul,float16,32,512,8192,0.051145,268435456,8945664
matmul,float16,32,512,4096,0.038888,134217728,4489216
matmul,float16,32,512,2048,0.045037,67108864,2260992
matmul,float16,32,512,1024,0.045089,33554432,1146880
matmul,float16,32,512,512,0.046089,16777216,589824
matmul,float16,16,8192,8192,0.206645,2147483648,134742016
matmul,float16,16,8192,4096,0.105147,1073741824,67502080
matmul,float16,16,8192,2048,0.079586,536870912,33882112
matmul,float16,16,8192,1024,0.066645,268435456,17072128
matmul,float16,16,8192,512,0.045678,134217728,8667136
matmul,float16,16,4096,8192,0.106788,1073741824,67502080
matmul,float16,16,4096,4096,0.068725,536870912,33816576
matmul,float16,16,4096,2048,0.064597,268435456,16973824
matmul,float16,16,4096,1024,0.051414,134217728,8552448
matmul,float16,16,4096,512,0.044590,67108864,4341760
matmul,float16,16,2048,8192,0.067778,536870912,33882112
matmul,float16,16,2048,4096,0.047856,268435456,16973824
matmul,float16,16,2048,2048,0.047456,134217728,8519680
matmul,float16,16,2048,1024,0.052062,67108864,4292608
matmul,float16,16,2048,512,0.051408,33554432,2179072
matmul,float16,16,1024,8192,0.049298,268435456,17072128
matmul,float16,16,1024,4096,0.063239,134217728,8552448
matmul,float16,16,1024,2048,0.057452,67108864,4292608
matmul,float16,16,1024,1024,0.050113,33554432,2162688
matmul,float16,16,1024,512,0.042598,16777216,1097728
matmul,float16,16,512,8192,0.050738,134217728,8667136
matmul,float16,16,512,4096,0.048612,67108864,4341760
matmul,float16,16,512,2048,0.040802,33554432,2179072
matmul,float16,16,512,1024,0.049872,16777216,1097728
matmul,float16,16,512,512,0.053704,8388608,557056
matmul,float16,8,8192,8192,0.210622,1073741824,134479872
matmul,float16,8,8192,4096,0.107202,536870912,67305472
matmul,float16,8,8192,2048,0.085599,268435456,33718272
matmul,float16,8,8192,1024,0.060509,134217728,16924672
matmul,float16,8,8192,512,0.047057,67108864,8527872
matmul,float16,8,4096,8192,0.132112,536870912,67305472
matmul,float16,8,4096,4096,0.082838,268435456,33685504
matmul,float16,8,4096,2048,0.070565,134217728,16875520
matmul,float16,8,4096,1024,0.047908,67108864,8470528
matmul,float16,8,4096,512,0.047490,33554432,4268032
matmul,float16,8,2048,8192,0.067427,268435456,33718272
matmul,float16,8,2048,4096,0.044077,134217728,16875520
matmul,float16,8,2048,2048,0.043592,67108864,8454144
matmul,float16,8,2048,1024,0.049747,33554432,4243456
matmul,float16,8,2048,512,0.048417,16777216,2138112
matmul,float16,8,1024,8192,0.049619,134217728,16924672
matmul,float16,8,1024,4096,0.051677,67108864,8470528
matmul,float16,8,1024,2048,0.049622,33554432,4243456
matmul,float16,8,1024,1024,0.047315,16777216,2129920
matmul,float16,8,1024,512,0.048099,8388608,1073152
matmul,float16,8,512,8192,0.040410,67108864,8527872
matmul,float16,8,512,4096,0.049927,33554432,4268032
matmul,float16,8,512,2048,0.039832,16777216,2138112
matmul,float16,8,512,1024,0.048007,8388608,1073152
matmul,float16,8,512,512,0.046813,4194304,540672
matmul,float16,4,8192,8192,0.205367,536870912,134348800
matmul,float16,4,8192,4096,0.105905,268435456,67207168
matmul,float16,4,8192,2048,0.079156,134217728,33636352
matmul,float16,4,8192,1024,0.057688,67108864,16850944
matmul,float16,4,8192,512,0.043958,33554432,8458240
matmul,float16,4,4096,8192,0.118320,268435456,67207168
matmul,float16,4,4096,4096,0.063536,134217728,33619968
matmul,float16,4,4096,2048,0.069128,67108864,16826368
matmul,float16,4,4096,1024,0.046795,33554432,8429568
matmul,float16,4,4096,512,0.045185,16777216,4231168
matmul,float16,4,2048,8192,0.064714,134217728,33636352
matmul,float16,4,2048,4096,0.050117,67108864,16826368
matmul,float16,4,2048,2048,0.050202,33554432,8421376
matmul,float16,4,2048,1024,0.058056,16777216,4218880
matmul,float16,4,2048,512,0.053543,8388608,2117632
matmul,float16,4,1024,8192,0.045814,67108864,16850944
matmul,float16,4,1024,4096,0.049853,33554432,8429568
matmul,float16,4,1024,2048,0.040073,16777216,4218880
matmul,float16,4,1024,1024,0.050184,8388608,2113536
matmul,float16,4,1024,512,0.048504,4194304,1060864
matmul,float16,4,512,8192,0.044709,33554432,8458240
matmul,float16,4,512,4096,0.055542,16777216,4231168
matmul,float16,4,512,2048,0.041299,8388608,2117632
matmul,float16,4,512,1024,0.060741,4194304,1060864
matmul,float16,4,512,512,0.045836,2097152,532480
matmul,float16,2,8192,8192,0.208499,268435456,134283264
matmul,float16,2,8192,4096,0.106343,134217728,67158016
matmul,float16,2,8192,2048,0.080796,67108864,33595392
matmul,float16,2,8192,1024,0.058290,33554432,16814080
matmul,float16,2,8192,512,0.046397,16777216,8423424
matmul,float16,2,4096,8192,0.123475,134217728,67158016
matmul,float16,2,4096,4096,0.069055,67108864,33587200
matmul,float16,2,4096,2048,0.061939,33554432,16801792
matmul,float16,2,4096,1024,0.045862,16777216,8409088
matmul,float16,2,4096,512,0.045147,8388608,4212736
matmul,float16,2,2048,8192,0.067126,67108864,33595392
matmul,float16,2,2048,4096,0.046325,33554432,16801792
matmul,float16,2,2048,2048,0.042028,16777216,8404992
matmul,float16,2,2048,1024,0.051665,8388608,4206592
matmul,float16,2,2048,512,0.046184,4194304,2107392
matmul,float16,2,1024,8192,0.044001,33554432,16814080
matmul,float16,2,1024,4096,0.049553,16777216,8409088
matmul,float16,2,1024,2048,0.036805,8388608,4206592
matmul,float16,2,1024,1024,0.060005,4194304,2105344
matmul,float16,2,1024,512,0.038446,2097152,1054720
matmul,float16,2,512,8192,0.044545,16777216,8423424
matmul,float16,2,512,4096,0.055306,8388608,4212736
matmul,float16,2,512,2048,0.039536,4194304,2107392
matmul,float16,2,512,1024,0.040016,2097152,1054720
matmul,float16,2,512,512,0.042376,1048576,528384
matmul,float16,1,8192,8192,0.181635,134217728,134250496
matmul,float16,1,8192,4096,0.106149,67108864,67133440
matmul,float16,1,8192,2048,0.070550,33554432,33574912
matmul,float16,1,8192,1024,0.051223,16777216,16795648
matmul,float16,1,8192,512,0.042347,8388608,8406016
matmul,float16,1,4096,8192,0.102360,67108864,67133440
matmul,float16,1,4096,4096,0.066919,33554432,33570816
matmul,float16,1,4096,2048,0.060745,16777216,16789504
matmul,float16,1,4096,1024,0.039620,8388608,8398848
matmul,float16,1,4096,512,0.040366,4194304,4203520
matmul,float16,1,2048,8192,0.074887,33554432,33574912
matmul,float16,1,2048,4096,0.046426,16777216,16789504
matmul,float16,1,2048,2048,0.043278,8388608,8396800
matmul,float16,1,2048,1024,0.038202,4194304,4200448
matmul,float16,1,2048,512,0.037931,2097152,2102272
matmul,float16,1,1024,8192,0.057510,16777216,16795648
matmul,float16,1,1024,4096,0.044439,8388608,8398848
matmul,float16,1,1024,2048,0.038527,4194304,4200448
matmul,float16,1,1024,1024,0.037440,2097152,2101248
matmul,float16,1,1024,512,0.036670,1048576,1051648
matmul,float16,1,512,8192,0.036256,8388608,8406016
matmul,float16,1,512,4096,0.036664,4194304,4203520
matmul,float16,1,512,2048,0.035946,2097152,2102272
matmul,float16,1,512,1024,0.036887,1048576,1051648
matmul,float16,1,512,512,0.041470,524288,526336
matmul,bfloat16,32768,8192,8192,57.484800,4398046511104,1207959552
matmul,bfloat16,32768,8192,4096,28.897338,2199023255552,872415232
matmul,bfloat16,32768,8192,2048,14.473845,1099511627776,704643072
