op_name,dtype,n_launches,cpu_time_ms,gpu_time_ms
launch_trivial,float16,10,0.11878499935846776,0.11776000261306763
launch_trivial,float16,50,0.7810519891791046,0.7587839961051941
launch_trivial,float16,100,1.4223399921320379,1.4346239566802979
launch_trivial,float16,200,2.8336630057310686,2.8928000926971436
launch_trivial,float16,500,7.272332994034514,5.164031982421875
launch_trivial,float16,1000,14.258808005251922,14.4650239944458
launch_trivial,float16,0,0.0006417951423196289,0.013671256870639942
launch_matmul_small,float16,10,0.497760993312113,0.4843519926071167
launch_matmul_small,float16,50,2.246957999886945,2.229248046875
launch_matmul_small,float16,100,4.444307996891439,4.426752090454102
launch_matmul_small,float16,200,8.886299998266622,8.856575965881348
launch_matmul_small,float16,500,22.168333001900464,22.09894371032715
launch_matmul_small,float16,1000,44.11352401075419,44.040191650390625
launch_matmul_small,float16,0,8.962612538666176e-05,0.044081037793678564
launch_trivial,bfloat16,10,0.12648600386455655,0.1157120019197464
launch_trivial,bfloat16,50,0.8470989996567369,0.7536640167236328
launch_trivial,bfloat16,100,1.5062260063132271,1.4684159755706787
launch_trivial,bfloat16,200,2.8933540015714243,2.9317119121551514
launch_trivial,bfloat16,500,7.777328995871358,7.145472049713135
launch_trivial,bfloat16,1000,14.497361989924684,14.08409595489502
launch_trivial,bfloat16,0,0.0005604816660773754,0.014147747797171092
launch_matmul_small,bfloat16,10,0.4679440025938675,0.4628480076789856
launch_matmul_small,bfloat16,50,2.2303029982140288,2.224128007888794
launch_matmul_small,bfloat16,100,4.454638998140581,4.439040184020996
launch_matmul_small,bfloat16,200,8.850484999129549,8.821760177612305
launch_matmul_small,bfloat16,500,22.043375996872783,22.013952255249023
launch_matmul_small,bfloat16,1000,44.033602011040784,43.9633903503418
launch_matmul_small,bfloat16,0,7.107944625494439e-05,0.04398469016763557
launch_trivial,float16,10,0.1187169982586056,0.11980800330638885
launch_trivial,float16,50,0.8225339988712221,0.8151040077209473
launch_trivial,float16,100,1.5142699994612485,1.6087039709091187
launch_trivial,float16,200,3.0150320089887828,3.017728090286255
launch_trivial,float16,500,6.732779002049938,6.69593620300293
launch_trivial,float16,1000,13.353702990571037,13.376511573791504
launch_trivial,float16,0,0.0,0.01345835173565196
launch_matmul_small,float16,10,0.4914639866910875,0.47411200404167175
launch_matmul_small,float16,50,2.2839409939479083,2.258944034576416
launch_matmul_small,float16,100,4.450819018529728,4.435967922210693
launch_matmul_small,float16,200,8.85502400342375,8.843263626098633
launch_matmul_small,float16,500,22.158167994348332,22.210559844970703
launch_matmul_small,float16,1000,44.28532501333393,44.14054489135742
launch_matmul_small,float16,0,9.507504188339955e-05,0.0442006469008543
launch_trivial,bfloat16,10,0.15627301763743162,0.17919999361038208
launch_trivial,bfloat16,50,0.725188001524657,0.7127040028572083
launch_trivial,bfloat16,100,1.4216440031304955,1.3844480514526367
launch_trivial,bfloat16,200,2.7028459880966693,2.703360080718994
launch_trivial,bfloat16,500,6.787660997360945,6.754303932189941
launch_trivial,bfloat16,1000,13.440475973766297,13.487104415893555
launch_trivial,bfloat16,0,0.0,0.013496699219527524
launch_matmul_small,bfloat16,10,0.47485201503150165,0.45977601408958435
launch_matmul_small,bfloat16,50,2.24806199548766,2.2272000312805176
launch_matmul_small,bfloat16,100,4.454698006156832,4.451327800750732
launch_matmul_small,bfloat16,200,8.965120010543615,8.942591667175293
launch_matmul_small,bfloat16,500,22.272745001828298,22.097919464111328
launch_matmul_small,bfloat16,1000,43.821175990160555,43.8210563659668
launch_matmul_small,bfloat16,0,7.183244318001436e-05,0.04392724164995971
launch_trivial,float16,10,0.11450698366388679,0.11468800157308578
launch_trivial,float16,50,0.6959369638934731,0.7208960056304932
launch_trivial,float16,100,1.3809349620714784,1.376255989074707
launch_trivial,float16,200,2.769053971860558,2.7852799892425537
launch_trivial,float16,500,7.002961006946862,6.9713921546936035
launch_trivial,float16,1000,13.706499012187123,13.716480255126953
launch_trivial,float16,0,1.3635150807114749e-06,0.013767887002554116
launch_matmul_small,float16,10,0.4671110073104501,0.4628480076789856
launch_matmul_small,float16,50,2.2282979916781187,2.2231040000915527
launch_matmul_small,float16,100,4.425112972967327,4.422656059265137
launch_matmul_small,float16,200,8.825150958728045,8.8156156539917
launch_matmul_small,float16,500,22.04757498111576,22.016000747680664
launch_matmul_small,float16,1000,44.39175402512774,44.19891357421875
launch_matmul_small,float16,0,0.0001620471745122573,0.044164046034749965
launch_trivial,bfloat16,10,0.1629989710636437,0.16896000504493713
launch_trivial,bfloat16,50,0.7260169950313866,0.711679995059967
launch_trivial,bfloat16,100,1.3998000067658722,1.3772799968719482
launch_trivial,bfloat16,200,2.737943024840206,2.7412478923797607
launch_trivial,bfloat16,500,6.776759983040392,6.779903888702393
launch_trivial,bfloat16,1000,13.53039703099057,13.658111572265625
launch_trivial,bfloat16,0,0.0,0.013642956160435602
launch_matmul_small,bfloat16,10,0.47481199726462364,0.4638719856739044
launch_matmul_small,bfloat16,50,2.234379993751645,2.220031976699829
launch_matmul_small,bfloat16,100,4.42171300528571,4.419583797454834
launch_matmul_small,bfloat16,200,8.83754895767197,8.819711685180664
launch_matmul_small,bfloat16,500,22.070161008741707,22.012928009033203
launch_matmul_small,bfloat16,1000,43.99417497916147,44.01356887817383
launch_matmul_small,bfloat16,0,1.0617055958651866e-05,0.04402086129138936
launch_trivial,float16,10,0.11563801672309637,0.1157120019197464
launch_trivial,float16,50,0.7336249691434205,0.7434239983558655
launch_trivial,float16,100,1.4139210106804967,1.4090240001678467
launch_trivial,float16,200,2.7717729681171477,2.78220796585083
launch_trivial,float16,500,6.912195007316768,6.857728004455566
launch_trivial,float16,1000,13.87789100408554,13.785087585449219
launch_trivial,float16,0,9.05488486556607e-05,0.013779843313988134
launch_matmul_small,float16,10,0.4826330114156008,0.4700160026550293
launch_matmul_small,float16,50,2.269997028633952,2.249727964401245
launch_matmul_small,float16,100,4.500281997025013,4.474880218505859
launch_matmul_small,float16,200,8.929414034355432,8.881152153015137
launch_matmul_small,float16,500,22.140435001347214,22.05183982849121
launch_matmul_small,float16,1000,44.19012198923156,44.45491027832031
launch_matmul_small,float16,0,0.0,0.044389478890884494
launch_trivial,bfloat16,10,0.1771309762261808,0.18636800348758698
launch_trivial,bfloat16,50,0.7139189983718097,0.7290880084037781
launch_trivial,bfloat16,100,1.4240629971027374,1.3864959478378296
launch_trivial,bfloat16,200,2.9853880405426025,2.836479902267456
launch_trivial,bfloat16,500,5.0273200031369925,5.277696132659912
launch_trivial,bfloat16,1000,19.744140037801117,17.540096282958984
launch_trivial,bfloat16,0,0.0016210219575372165,0.016062650088270597
launch_matmul_small,bfloat16,10,0.47364900819957256,0.4628480076789856
launch_matmul_small,bfloat16,50,2.241890993900597,2.234368085861206
launch_matmul_small,bfloat16,100,4.448894003871828,4.455423831939697
launch_matmul_small,bfloat16,200,8.861785987392068,8.887295722961426
launch_matmul_small,bfloat16,500,22.171014978084713,22.10201644897461
launch_matmul_small,bfloat16,1000,44.087636983022094,44.02483367919922
launch_matmul_small,bfloat16,0,7.065238282238928e-05,0.0440773762596673
