op_name,dtype,M,K,N,time_ms,flops,bytes
cudagraph_matmul,float16,32768,8192,8192,59.280076,4398046511104,1207959552
cudagraph_matmul,float16,32768,8192,4096,29.650763,2199023255552,872415232
cudagraph_matmul,float16,32768,8192,2048,14.769242,1099511627776,704643072
cudagraph_matmul,float16,32768,8192,1024,7.571833,549755813888,620756992
cudagraph_matmul,float16,32768,8192,512,3.929840,274877906944,578813952
cudagraph_matmul,float16,32768,4096,8192,29.983262,2199023255552,872415232
cudagraph_matmul,float16,32768,4096,4096,15.035361,1099511627776,570425344
cudagraph_matmul,float16,32768,4096,2048,7.481837,549755813888,419430400
cudagraph_matmul,float16,32768,4096,1024,3.835560,274877906944,343932928
cudagraph_matmul,float16,32768,4096,512,2.018647,137438953472,306184192
cudagraph_matmul,float16,32768,2048,8192,15.248043,1099511627776,704643072
cudagraph_matmul,float16,32768,2048,4096,7.653884,549755813888,419430400
cudagraph_matmul,float16,32768,2048,2048,3.815879,274877906944,276824064
cudagraph_matmul,float16,32768,2048,1024,1.960035,137438953472,205520896
cudagraph_matmul,float16,32768,2048,512,1.064616,68719476736,169869312
cudagraph_matmul,float16,32768,1024,8192,7.890624,549755813888,620756992
cudagraph_matmul,float16,32768,1024,4096,4.106370,274877906944,343932928
cudagraph_matmul,float16,32768,1024,2048,1.980828,137438953472,205520896
cudagraph_matmul,float16,32768,1024,1024,1.022256,68719476736,136314880
cudagraph_matmul,float16,32768,1024,512,0.531431,34359738368,101711872
cudagraph_matmul,float16,32768,512,8192,4.199681,274877906944,578813952
cudagraph_matmul,float16,32768,512,4096,2.110096,137438953472,306184192
cudagraph_matmul,float16,32768,512,2048,1.071444,68719476736,169869312
cudagraph_matmul,float16,32768,512,1024,0.550772,34359738368,101711872
cudagraph_matmul,float16,32768,512,512,0.276843,17179869184,67633152
cudagraph_matmul,float16,16384,8192,8192,29.878814,2199023255552,671088640
cudagraph_matmul,float16,16384,8192,4096,14.928098,1099511627776,469762048
