op_name,dtype,n_launches,cpu_time_ms,gpu_time_ms
launch_trivial,float16,10,0.11547900066943839,0.11484800279140472
launch_trivial,float16,50,0.6636079997406341,0.6748160123825073
launch_trivial,float16,100,1.3061299978289753,1.3065600395202637
launch_trivial,float16,200,2.516079999622889,2.556960105895996
launch_trivial,float16,500,6.40675699833082,6.383520126342773
launch_trivial,float16,1000,9.036074996402021,8.995840072631836
launch_trivial,float16,0,3.307250398214799e-05,0.009876045940105549
launch_matmul_small,float16,10,0.5519859987543896,0.5486400127410889
launch_matmul_small,float16,50,2.626089997647796,2.622368097305298
launch_matmul_small,float16,100,5.204230998060666,5.2008957862854
launch_matmul_small,float16,200,10.378509003203362,10.360608100891113
launch_matmul_small,float16,500,25.90218499972252,25.89081573486328
launch_matmul_small,float16,1000,51.807199997710995,51.7836799621582
launch_matmul_small,float16,0,2.5593370566290297e-05,0.051787121014424446
launch_trivial,bfloat16,10,0.15589300164720044,0.1658560037612915
launch_trivial,bfloat16,50,0.6556549997185357,0.6789119839668274
launch_trivial,bfloat16,100,1.3120160001562908,1.316864013671875
launch_trivial,bfloat16,200,2.5868250013445504,2.584575891494751
launch_trivial,bfloat16,500,4.504048003582284,4.513823986053467
launch_trivial,bfloat16,1000,12.69786699413089,12.564543724060059
launch_trivial,bfloat16,0,9.760311701219673e-05,0.011903624639942333
launch_matmul_small,bfloat16,10,0.5402950046118349,0.536575973033905
launch_matmul_small,bfloat16,50,2.615397999761626,2.6122241020202637
launch_matmul_small,bfloat16,100,5.193247998249717,5.186304092407227
launch_matmul_small,bfloat16,200,10.358418003306724,10.346495628356934
launch_matmul_small,bfloat16,500,25.86114999576239,25.853727340698242
launch_matmul_small,bfloat16,1000,51.75692599732429,51.748863220214844
launch_matmul_small,bfloat16,0,1.1552936756156762e-05,0.051742387064568886
