op_name,dtype,operator,N,time_ms,bytes
cudagraph_elem,bfloat16,rope,134217728,7.258967,536870912
cudagraph_elem,bfloat16,rope,67108864,3.636219,268435456
cudagraph_elem,bfloat16,rope,33554432,1.830993,134217728
cudagraph_elem,bfloat16,rope,16777216,0.927889,67108864
cudagraph_elem,bfloat16,rope,8388608,0.474423,33554432
cudagraph_elem,bfloat16,rope,4194304,0.246719,16777216
cudagraph_elem,bfloat16,rope,2097152,0.127979,8388608
cudagraph_elem,bfloat16,rope,1048576,0.061016,4194304
cudagraph_elem,bfloat16,rope,524288,0.032322,2097152
cudagraph_elem,bfloat16,rope,262144,0.023016,1048576
cudagraph_elem,bfloat16,rope,131072,0.021367,524288
cudagraph_elem,bfloat16,rope,65536,0.020413,262144
cudagraph_elem,bfloat16,rope,32768,0.019888,131072
cudagraph_elem,bfloat16,rope,16384,0.019387,65536
cudagraph_elem,bfloat16,rope,8192,0.019358,32768
cudagraph_elem,bfloat16,rope,4096,0.019346,16384
cudagraph_elem,bfloat16,rope,2048,0.019248,8192
cudagraph_elem,bfloat16,rope,1024,0.019260,4096
