op_name,dtype,M,K,N,time_ms,flops,bytes
cudagraph_matmul,float16,4096,2048,1024,0.352689,17179869184,29360128
cudagraph_matmul,float16,4096,2048,512,0.179831,8589934592,23068672
cudagraph_matmul,float16,4096,1024,8192,1.378371,68719476736,92274688
cudagraph_matmul,float16,4096,1024,4096,0.711378,34359738368,50331648
cudagraph_matmul,float16,4096,1024,2048,0.360221,17179869184,29360128
cudagraph_matmul,float16,4096,1024,1024,0.182623,8589934592,18874368
cudagraph_matmul,float16,4096,1024,512,0.096144,4294967296,13631488
cudagraph_matmul,float16,4096,512,8192,0.747973,34359738368,79691776
cudagraph_matmul,float16,4096,512,4096,0.383835,17179869184,41943040
cudagraph_matmul,float16,4096,512,2048,0.191758,8589934592,23068672
cudagraph_matmul,float16,4096,512,1024,0.096947,4294967296,13631488
cudagraph_matmul,float16,4096,512,512,0.055201,2147483648,8912896
cudagraph_matmul,float16,2048,8192,8192,5.264960,274877906944,201326592
cudagraph_matmul,float16,2048,8192,4096,2.763128,137438953472,117440512
cudagraph_matmul,float16,2048,8192,2048,1.370571,68719476736,75497472
cudagraph_matmul,float16,2048,8192,1024,0.668080,34359738368,54525952
cudagraph_matmul,float16,2048,8192,512,0.353386,17179869184,44040192
cudagraph_matmul,float16,2048,4096,8192,2.725907,137438953472,117440512
cudagraph_matmul,float16,2048,4096,4096,1.394645,68719476736,67108864
cudagraph_matmul,float16,2048,4096,2048,0.682193,34359738368,41943040
cudagraph_matmul,float16,2048,4096,1024,0.342189,17179869184,29360128
cudagraph_matmul,float16,2048,4096,512,0.185982,8589934592,23068672
cudagraph_matmul,float16,2048,2048,8192,1.375499,68719476736,75497472
cudagraph_matmul,float16,2048,2048,4096,0.702390,34359738368,41943040
cudagraph_matmul,float16,2048,2048,2048,0.348731,17179869184,25165824
cudagraph_matmul,float16,2048,2048,1024,0.176329,8589934592,16777216
cudagraph_matmul,float16,2048,2048,512,0.097655,4294967296,12582912
cudagraph_matmul,float16,2048,1024,8192,0.711508,34359738368,54525952
cudagraph_matmul,float16,2048,1024,4096,0.354547,17179869184,29360128
cudagraph_matmul,float16,2048,1024,2048,0.182674,8589934592,16777216
cudagraph_matmul,float16,2048,1024,1024,0.093156,4294967296,10485760
cudagraph_matmul,float16,2048,1024,512,0.049945,2147483648,7340032
cudagraph_matmul,float16,2048,512,8192,0.382809,17179869184,44040192
cudagraph_matmul,float16,2048,512,4096,0.197179,8589934592,23068672
cudagraph_matmul,float16,2048,512,2048,0.097227,4294967296,12582912
cudagraph_matmul,float16,2048,512,1024,0.053461,2147483648,7340032
cudagraph_matmul,float16,2048,512,512,0.030550,1073741824,4718592
cudagraph_matmul,float16,1024,8192,8192,2.970913,137438953472,167772160
cudagraph_matmul,float16,1024,8192,4096,1.702479,68719476736,92274688
cudagraph_matmul,float16,1024,8192,2048,0.666231,34359738368,54525952
cudagraph_matmul,float16,1024,8192,1024,0.341850,17179869184,35651584
cudagraph_matmul,float16,1024,8192,512,0.181986,8589934592,26214400
cudagraph_matmul,float16,1024,4096,8192,1.527621,68719476736,92274688
cudagraph_matmul,float16,1024,4096,4096,0.865192,34359738368,50331648
cudagraph_matmul,float16,1024,4096,2048,0.339192,17179869184,29360128
cudagraph_matmul,float16,1024,4096,1024,0.176799,8589934592,18874368
cudagraph_matmul,float16,1024,4096,512,0.095985,4294967296,13631488
cudagraph_matmul,float16,1024,2048,8192,0.779147,34359738368,54525952
cudagraph_matmul,float16,1024,2048,4096,0.440642,17179869184,29360128
cudagraph_matmul,float16,1024,2048,2048,0.174449,8589934592,16777216
